Vernier Format 2
November 1st cu 1 group 2	13:36  Friday, November 10, 2017
Latest
Time	Sound Level
Time	sound
min	volts

0.660000026	0.887499988
0.665000021	0.897499979
0.669999957	0.933749974
0.674999952	0.914999962
0.680000007	0.892499983
0.685000002	0.893749952
0.689999998	0.914999962
0.694999993	0.917499959
0.699999988	0.889999986
0.705000043	0.937500000
0.710000038	0.933749974
0.714999974	0.931249976
0.719999969	0.923749983
0.724999964	0.901250005
0.730000019	0.904999971
0.735000014	0.922499955
0.740000010	0.941249967
0.745000005	0.921249986
0.750000000	0.926249981
0.754999936	0.924999952
0.759999990	0.926249981
0.764999986	0.902499974
0.769999981	0.901250005
0.774999976	0.903750002
0.779999971	0.912499964
0.785000026	0.913749993
0.790000021	0.873749971
0.795000017	0.867500007
0.799999952	0.848749995
0.804999948	0.859999955
0.810000002	0.882499993
0.814999998	0.891249955
0.819999993	0.882499993
0.824999988	0.888749957
0.829999983	0.917499959
0.835000038	0.932500005
0.840000033	0.907499969
0.844999969	0.911249995
0.849999964	0.927499950
0.854999959	0.906250000
0.860000014	0.912499964
0.865000010	0.941249967
0.870000005	0.943749964
0.875000000	0.936249971
0.879999995	0.972499967
0.885000050	0.967499971
0.889999986	0.967499971
0.894999981	0.958749950
0.899999976	0.953749955
0.904999971	0.947499990
0.910000026	0.942499995
0.915000021	0.935000002
0.920000017	0.951249957
0.925000012	0.918749988
0.929999948	0.948749959
0.935000002	0.948749959
0.939999998	0.967499971
0.944999993	0.969999969
0.949999988	0.933749974
0.954999983	0.933749974
0.960000038	0.928749979
0.965000033	0.893749952
0.970000029	0.898750007
0.974999964	0.917499959
0.979999959	0.923749983
0.984999955	0.921249986
0.990000010	0.912499964
0.995000005	0.887499988
1.000000000	0.891249955
1.004999995	0.917499959
1.009999990	0.911249995
1.014999986	0.909999967
1.019999981	0.901250005
1.024999976	0.902499974
1.029999971	0.918749988
1.034999967	0.936249971
1.039999962	0.918749988
1.044999957	0.922499955
1.049999952	0.904999971
1.054999948	0.913749993
1.059999943	0.936249971
1.065000057	0.928749979
1.070000052	0.916249990
1.074999928	0.902499974
1.079999924	0.917499959
1.085000038	0.911249995
1.089999914	0.908749998
1.095000029	0.893749952
1.099999905	0.911249995
1.105000019	0.903750002
1.110000014	0.889999986
1.115000010	0.918749988
1.120000005	0.911249995
1.124999881	0.922499955
1.129999995	0.952499986
1.134999990	0.948749959
1.139999986	0.931249976
1.144999981	0.903750002
1.149999976	0.901250005
1.154999971	0.897499979
1.160000086	0.884999990
1.164999962	0.917499959
1.169999957	0.914999962
1.174999952	0.884999990
1.179999948	0.883749962
1.185000062	0.899999976
1.189999938	0.899999976
1.195000052	0.942499995
1.199999928	0.912499964
1.205000043	0.918749988
1.210000038	0.908749998
1.214999914	0.933749974
1.220000029	0.904999971
1.224999905	0.899999976
1.230000019	0.908749998
1.235000014	0.927499950
1.240000010	0.944999993
1.245000005	0.946249962
1.249999881	0.947499990
1.254999995	0.957499981
1.259999990	0.948749959
1.264999986	0.952499986
1.269999981	0.944999993
1.274999976	0.964999974
1.279999971	0.973749995
1.285000086	0.977499962
1.289999962	0.959999979
1.294999957	0.942499995
1.299999952	0.921249986
1.304999948	0.935000002
1.310000062	0.906250000
1.314999938	0.926249981
1.320000052	0.928749979
1.324999928	0.914999962
1.330000043	0.919999957
1.335000038	0.939999998
1.339999914	0.943749964
1.345000029	0.930000007
1.349999905	0.916249990
1.355000019	0.911249995
1.360000014	0.903750002
1.365000010	0.893749952
1.370000005	0.888749957
1.375000000	0.882499993
1.379999995	0.859999955
1.384999990	0.859999955
1.389999986	0.875000000
1.394999981	0.891249955
1.399999976	0.909999967
1.404999971	0.933749974
1.410000086	0.914999962
1.414999962	0.922499955
1.420000076	0.902499974
1.424999952	0.922499955
1.429999948	0.937500000
1.435000062	0.937500000
1.439999938	0.939999998
1.445000052	0.909999967
1.449999928	0.914999962
1.455000043	0.922499955
1.460000038	0.930000007
1.465000033	0.935000002
1.470000029	0.939999998
1.474999905	0.937500000
1.480000019	0.933749974
1.485000014	0.942499995
1.490000010	0.968750000
1.495000005	0.933749974
1.500000000	0.930000007
1.504999995	0.931249976
1.509999871	0.941249967
1.514999986	0.930000007
1.519999981	0.908749998
1.524999976	0.919999957
1.529999971	0.922499955
1.534999967	0.914999962
1.539999962	0.933749974
1.545000076	0.947499990
1.549999952	0.924999952
1.554999948	0.931249976
1.559999943	0.922499955
1.564999938	0.919999957
1.570000052	0.923749983
1.574999928	0.942499995
1.580000043	0.979999959
1.584999919	0.962499976
1.590000033	0.967499971
1.595000029	0.958749950
1.599999905	0.951249957
1.605000019	0.969999969
1.609999895	0.956249952
