Vernier Format 2
copper Nov 6 group 2	13:37  Friday, November 10, 2017
Latest
Time	Sound Level
Time	sound
min	volts

0.266000003	1.257499933
0.267999977	1.283749938
0.269999981	1.272499919
0.271999985	1.299999952
0.273999989	1.303749919
0.275999993	1.301249981
0.277999997	1.294999957
0.280000001	1.292500019
0.281999975	1.289999962
0.284000009	1.298749924
0.285999984	1.289999962
0.287999988	1.273749948
0.289999992	1.283749938
0.291999996	1.274999976
0.294000000	1.269999981
0.295999974	1.292500019
0.298000008	1.303749919
0.299999982	1.304999948
0.301999986	1.297500014
0.303999990	1.293749928
0.305999994	1.263749957
0.307999969	1.252499938
0.310000002	1.274999976
0.312000006	1.256250024
0.313999981	1.256250024
0.316000015	1.266250014
0.317999989	1.278749943
0.319999993	1.269999981
0.321999967	1.262499928
0.324000001	1.251250029
0.325999975	1.254999995
0.327999979	1.268749952
0.330000013	1.296249986
0.331999987	1.287500024
0.333999991	1.292500019
0.335999995	1.308749914
0.338000000	1.316249967
0.339999974	1.316249967
0.342000008	1.326249957
0.343999982	1.324999928
0.345999986	1.312500000
0.347999990	1.306249976
0.349999994	1.316249967
0.351999998	1.306249976
0.353999972	1.308749914
0.356000006	1.314999938
0.357999980	1.307500005
0.359999985	1.317499995
0.361999989	1.323750019
0.363999993	1.297500014
0.365999997	1.297500014
0.368000001	1.301249981
0.370000005	1.312500000
0.371999979	1.317499995
0.373999983	1.317499995
0.375999987	1.306249976
0.377999991	1.303749919
0.379999965	1.304999948
0.381999999	1.317499995
0.383999974	1.323750019
0.385999978	1.336249948
0.388000011	1.333750010
0.389999986	1.343750000
0.391999990	1.318750024
0.393999964	1.327499986
0.395999998	1.338750005
0.397999972	1.351249933
0.399999976	1.365000010
0.401999980	1.336249948
0.403999984	1.357499957
0.405999988	1.356249928
0.407999992	1.356249928
0.409999996	1.368749976
0.411999971	1.372499943
0.414000005	1.373749971
0.415999979	1.377499938
0.417999983	1.382499933
0.419999957	1.375000000
0.421999991	1.367499948
0.423999995	1.343750000
0.425999969	1.322499990
0.428000003	1.329999924
0.429999977	1.323750019
0.431999981	1.313750029
0.433999985	1.297500014
0.435999990	1.292500019
0.437999964	1.308749914
0.439999998	1.306249976
0.442000002	1.294999957
0.443999976	1.279999971
0.446000010	1.281250000
0.447999984	1.289999962
0.449999988	1.287500024
0.451999962	1.294999957
0.453999996	1.287500024
0.455999970	1.292500019
0.457999974	1.289999962
0.460000008	1.301249981
0.461999983	1.294999957
0.463999987	1.294999957
0.465999991	1.292500019
0.467999995	1.309999943
0.469999969	1.323750019
0.471999973	1.323750019
0.473999977	1.302500010
0.475999981	1.299999952
0.477999985	1.289999962
0.479999989	1.279999971
0.481999993	1.283749938
0.483999968	1.279999971
0.486000001	1.294999957
0.487999976	1.307500005
0.489999980	1.321249962
0.491999984	1.323750019
0.493999988	1.309999943
0.495999992	1.331249952
0.497999966	1.333750010
0.500000000	1.326249957
0.501999974	1.322499990
0.504000008	1.319999933
0.505999982	1.298749924
0.508000016	1.283749938
0.509999990	1.276250005
0.511999965	1.287500024
0.513999999	1.278749943
0.515999973	1.279999971
0.518000007	1.296249986
0.519999981	1.284999967
0.522000015	1.306249976
0.523999989	1.318750024
0.525999963	1.303749919
0.527999997	1.303749919
0.529999971	1.324999928
0.532000005	1.334999919
0.533999979	1.365000010
0.535999954	1.345000029
0.537999988	1.346249938
0.539999962	1.348749995
0.541999996	1.350000024
0.543999970	1.352499962
0.546000004	1.342499971
0.547999978	1.348749995
0.549999952	1.378749967
0.551999986	1.383749962
0.554000020	1.377499938
0.555999994	1.378749967
0.557999969	1.377499938
0.560000002	1.356249928
0.561999977	1.352499962
0.563999951	1.366249919
0.565999925	1.387499928
0.568000019	1.403749943
0.569999993	1.418749928
0.571999967	1.404999971
0.574000001	1.401250005
0.575999975	1.401250005
0.577999949	1.383749962
0.579999983	1.370000005
0.582000017	1.375000000
0.583999991	1.387499928
0.585999966	1.407499909
0.588000000	1.431249976
0.589999974	1.427500010
0.591999948	1.421249986
0.593999982	1.422500014
0.596000016	1.423749924
0.597999990	1.423749924
0.599999964	1.433749914
0.601999938	1.413749933
0.603999972	1.428749919
0.606000006	1.433749914
0.607999980	1.446249962
0.610000014	1.449999928
0.611999989	1.448750019
0.613999963	1.451249957
0.615999937	1.467499971
0.617999971	1.476249933
0.620000005	1.453750014
0.621999979	1.451249957
0.624000013	1.472499967
0.625999987	1.457499981
0.627999961	1.451249957
0.629999936	1.424999952
0.632000029	1.429999948
0.634000003	1.427500010
0.635999978	1.422500014
0.637999952	1.422500014
0.639999986	1.403749943
0.641999960	1.413749933
0.643999934	1.404999971
0.646000028	1.403749943
