Vernier Format 2
October 30 group 2	13:35  Friday, November 10, 2017
Latest
Time	Sound Level
Time	sound
min	volts

0.665000021	0.669999957
0.669999957	0.678749979
0.674999952	0.658749998
0.680000007	0.662499964
0.685000002	0.677500010
0.689999998	0.664999962
0.694999993	0.668749988
0.699999988	0.675000012
0.705000043	0.682500005
0.710000038	0.686249971
0.714999974	0.692499995
0.719999969	0.677500010
0.724999964	0.672500014
0.730000019	0.681249976
0.735000014	0.672500014
0.740000010	0.673749983
0.745000005	0.688749969
0.750000000	0.697499990
0.754999936	0.692499995
0.759999990	0.689999998
0.764999986	0.714999974
0.769999981	0.697499990
0.774999976	0.697499990
0.779999971	0.693749964
0.785000026	0.689999998
0.790000021	0.678749979
0.795000017	0.692499995
0.799999952	0.687500000
0.804999948	0.688749969
0.810000002	0.682500005
0.814999998	0.689999998
0.819999993	0.688749969
0.824999988	0.689999998
0.829999983	0.692499995
0.835000038	0.703749955
0.840000033	0.712499976
0.844999969	0.709999979
0.849999964	0.718750000
0.854999959	0.706250012
0.860000014	0.697499990
0.865000010	0.702499986
0.870000005	0.675000012
0.875000000	0.685000002
0.879999995	0.694999993
0.885000050	0.683749974
0.889999986	0.682500005
0.894999981	0.691249967
0.899999976	0.707499981
0.904999971	0.717499971
0.910000026	0.709999979
0.915000021	0.698749959
0.920000017	0.688749969
0.925000012	0.701249957
0.929999948	0.692499995
0.935000002	0.707499981
0.939999998	0.718750000
0.944999993	0.723749995
0.949999988	0.722499967
0.954999983	0.709999979
0.960000038	0.706250012
0.965000033	0.723749995
0.970000029	0.716250002
0.974999964	0.713750005
0.979999959	0.721249998
0.984999955	0.716250002
0.990000010	0.723749995
0.995000005	0.704999983
1.000000000	0.692499995
1.004999995	0.687500000
1.009999990	0.680000007
1.014999986	0.696249962
1.019999981	0.703749955
1.024999976	0.699999988
1.029999971	0.699999988
1.034999967	0.703749955
1.039999962	0.717499971
1.044999957	0.722499967
1.049999952	0.716250002
1.054999948	0.718750000
1.059999943	0.718750000
1.065000057	0.709999979
1.070000052	0.709999979
1.074999928	0.723749995
1.079999924	0.711250007
1.085000038	0.722499967
1.089999914	0.721249998
1.095000029	0.723749995
1.099999905	0.713750005
1.105000019	0.712499976
1.110000014	0.694999993
1.115000010	0.707499981
1.120000005	0.712499976
1.124999881	0.708750010
1.129999995	0.703749955
1.134999990	0.717499971
1.139999986	0.722499967
1.144999981	0.728749990
1.149999976	0.733749986
1.154999971	0.719999969
1.160000086	0.728749990
1.164999962	0.719999969
1.169999957	0.711250007
1.174999952	0.709999979
1.179999948	0.709999979
1.185000062	0.717499971
1.189999938	0.713750005
1.195000052	0.718750000
1.199999928	0.729999959
1.205000043	0.750000000
1.210000038	0.738749981
1.214999914	0.727499962
1.220000029	0.740000010
1.224999905	0.737500012
1.230000019	0.728749990
1.235000014	0.712499976
1.240000010	0.714999974
1.245000005	0.718750000
1.249999881	0.738749981
1.254999995	0.723749995
1.259999990	0.718750000
1.264999986	0.718750000
1.269999981	0.724999964
1.274999976	0.713750005
1.279999971	0.726249993
1.285000086	0.733749986
1.289999962	0.723749995
1.294999957	0.740000010
1.299999952	0.734999955
1.304999948	0.732499957
1.310000062	0.743749976
1.314999938	0.743749976
1.320000052	0.748749971
1.324999928	0.750000000
1.330000043	0.758749962
1.335000038	0.745000005
1.339999914	0.763749957
1.345000029	0.768750012
1.349999905	0.759999990
1.355000019	0.756249964
1.360000014	0.743749976
1.365000010	0.751249969
1.370000005	0.759999990
1.375000000	0.768750012
1.379999995	0.776250005
1.384999990	0.769999981
1.389999986	0.752499998
1.394999981	0.757499993
1.399999976	0.753749967
1.404999971	0.746249974
1.410000086	0.748749971
1.414999962	0.764999986
1.420000076	0.767499983
1.424999952	0.766249955
1.429999948	0.762499988
1.435000062	0.776250005
1.439999938	0.799999952
1.445000052	0.784999967
1.449999928	0.756249964
1.455000043	0.757499993
1.460000038	0.767499983
1.465000033	0.781250000
1.470000029	0.791249990
1.474999905	0.793749988
1.480000019	0.784999967
1.485000014	0.777499974
1.490000010	0.771250010
1.495000005	0.771250010
1.500000000	0.779999971
1.504999995	0.794999957
1.509999871	0.799999952
1.514999986	0.803749979
1.519999981	0.806249976
1.524999976	0.796249986
1.529999971	0.802500010
1.534999967	0.813749969
1.539999962	0.811249971
1.545000076	0.805000007
1.549999952	0.797499955
1.554999948	0.793749988
1.559999943	0.784999967
1.564999938	0.793749988
1.570000052	0.787499964
1.574999928	0.783749998
1.580000043	0.796249986
1.584999919	0.807500005
1.590000033	0.816249967
1.595000029	0.810000002
1.599999905	0.812500000
1.605000019	0.829999983
1.609999895	0.827499986
1.615000010	0.824999988
